name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
Bloodfin tetra,Aphyocharax anisitsi,https://upload.wikimedia.org//wikipedia/commons/d/dc/Aphyocharax_anisitsi_2.jpg,,,,https://en.wikipedia.org//wiki/Aphyocharax_anisitsi
Blue tetra,Knodus borki,https://upload.wikimedia.org//wikipedia/commons/6/6d/Boehlkea_fredcochui_malefemale.jpg,,,,
Bucktooth tetra,Exodon paradoxus,https://upload.wikimedia.org//wikipedia/commons/c/c9/DSCN6064_%286260740474%29.jpg,,,,https://en.wikipedia.org//wiki/Exodon_paradoxus
Buenos Aires tetra,Hyphessobrycon anisitsi,https://upload.wikimedia.org//wikipedia/commons/4/47/Hyphessobrycon_anisitsi.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_anisitsi
Cardinal tetra,Paracheirodon axelrodi,https://upload.wikimedia.org//wikipedia/commons/3/3e/Paracheirodon_cardinalis.JPG,,,,https://en.wikipedia.org//wiki/Paracheirodon_axelrodi
"Cave tetra, blind tetra",Astyanax mexicanus,https://upload.wikimedia.org//wikipedia/commons/e/e0/Astyanax_mexicanus%2C_Palmiarnia_Pozna%C5%84ska.jpg,,,,https://en.wikipedia.org//wiki/Astyanax_mexicanus
Diamond tetra,Moenkhausia pittieri,https://upload.wikimedia.org//wikipedia/commons/e/ee/Brillantsalmler.jpg,,,,https://en.wikipedia.org//wiki/Moenkhausia_pittieri
Ember tetra,Hyphessobrycon amandae,https://upload.wikimedia.org//wikipedia/commons/5/55/AKT_1430bq.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_amandae
Emperor tetra,Nematobrycon palmeri,https://upload.wikimedia.org//wikipedia/commons/5/5e/Emperor_tetra.jpg,,,,
Flame tetra,Hyphessobrycon flammeus,https://upload.wikimedia.org//wikipedia/commons/a/ad/Roter_von_Rio_-_Hyphessobrycon_flammeus.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_flammeus
"Garnet tetra, pretty tetra",Hemigrammus pulcher,https://upload.wikimedia.org//wikipedia/commons/2/23/H.pulcher_IMG_3268.jpg,,,,
Glass bloodfin tetra,Prionobrama filigera,https://upload.wikimedia.org//wikipedia/commons/9/95/Bloodfin_Glass_Tetra.jpg,,,,https://en.wikipedia.org//wiki/Prionobrama_filigera
Glowlight tetra,Hemigrammus erythrozonus,https://upload.wikimedia.org//wikipedia/commons/b/b4/Tetra_Glowlight_cropped.jpg,,,,
Golden pristella tetra,Pristella maxillaris,https://upload.wikimedia.org//wikipedia/commons/c/c4/Pristella_maxillaris.jpg,,,,
Green neon tetra,Paracheirodon simulans,https://upload.wikimedia.org//wikipedia/commons/7/78/Paracheirodon_simulans.jpg,,,,https://en.wikipedia.org//wiki/Paracheirodon_simulans
Head and tail light tetra,Hemigrammus ocellifer,https://upload.wikimedia.org//wikipedia/commons/4/4f/Head-%26-Tail-Light-Tetra.jpg,,,,https://en.wikipedia.org//wiki/Hemigrammus_ocellifer
January tetra,Hemigrammus hyanuary,https://upload.wikimedia.org//wikipedia/commons/4/4c/Hemigrammus_hyanuary_thomnight_001.jpg,,,,https://en.wikipedia.org//wiki/Hemigrammus_hyanuary
Lemon tetra,Hyphessobrycon pulchripinnis,https://upload.wikimedia.org//wikipedia/commons/0/07/Hyphessobrycon_pulchripinnis.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_pulchripinnis
Neon tetra,Paracheirodon innesi,https://upload.wikimedia.org//wikipedia/commons/5/54/Neonka_obecna_paracheirodon_innesi.jpg,,,,https://en.wikipedia.org//wiki/Paracheirodon_innesi
